,intent_label,words,word_labels,length
16,weather/find,is tuesday to be sunny,O B-timeRange O O B-condition_temperature,5
17,weather/find,is wednesday to be sunny,O B-timeRange O O B-condition_temperature,5
18,weather/find,is thursday to be sunny,O B-timeRange O O B-condition_temperature,5
19,weather/find,is friday to be sunny,O B-timeRange O O B-condition_temperature,5
20,weather/find,is saturday to be sunny,O B-timeRange O O B-condition_temperature,5
21,weather/find,is sunday to be sunny,O B-timeRange O O B-condition_temperature,5
22,weather/find,is monday to be cloudy,O B-timeRange O O B-condition_temperature,5
23,weather/find,is tuesday to be cloudy,O B-timeRange O O B-condition_description,5
24,weather/find,is wednesday to be cloudy,O B-timeRange O O B-condition_temperature,5
25,weather/find,is thursday to be cloudy,O B-timeRange O O B-condition_temperature,5
26,weather/find,is friday to be cloudy,O B-timeRange O O B-condition_temperature,5
27,weather/find,is saturday to be cloudy,O B-timeRange O O B-condition_temperature,5
28,weather/find,is sunday to be cloudy,O B-timeRange O O B-condition_temperature,5
29,weather/find,is monday to be rainy,O B-timeRange O O B-condition_temperature,5
30,weather/find,is tuesday to be rainy,O B-timeRange O O B-condition_temperature,5
31,weather/find,is wednesday to be rainy?,O B-timeRange O O B-condition_temperature O,6
32,weather/find,is thursday to be rainy,O B-timeRange O O B-condition_temperature,5
33,weather/find,is friday to be rainy,O B-timeRange O O B-condition_temperature,5
34,weather/find,is saturday to be rainy,O B-timeRange O O B-condition_temperature,5
35,alarm/set_alarm,set an alarm for 830,O O O B-timeRange I-timeRange,5
36,alarm/set_alarm,set alarm for 750,O O B-timeRange I-timeRange,4
37,alarm/set_alarm,set an alarm for 730,O O O B-timeRange I-timeRange,5
38,alarm/set_alarm,set an alarm for 540,O O O B-timeRange I-timeRange,5
39,alarm/set_alarm,set an alarm for 1215,O O O B-timeRange I-timeRange,5
40,alarm/set_alarm,set alarm for 630,O O B-timeRange I-timeRange,4
41,alarm/set_alarm,set an alarm for 820,O O O B-timeRange I-timeRange,5
42,alarm/set_alarm,set an alarm for 920,O O O B-timeRange I-timeRange,5
43,alarm/set_alarm,set an alarm for 125,O O O B-timeRange I-timeRange,5
44,alarm/set_alarm,set an alarm for 210,O O O B-timeRange I-timeRange,5
45,alarm/set_alarm,set an alarm for 402,O O O B-timeRange I-timeRange,5
46,alarm/set_alarm,set an alarm for 330,O O O B-timeRange I-timeRange,5
47,alarm/set_alarm,set an alarm for 1115,O O O B-timeRange I-timeRange,5
48,alarm/set_alarm,set an alarm for 620,O O O B-timeRange I-timeRange,5
49,alarm/set_alarm,set an alarm for 215,O O O B-timeRange I-timeRange,5
50,alarm/set_alarm,set an alarm for 535,O O O B-timeRange I-timeRange,5
51,alarm/set_alarm,set an alarm for 622,O O O B-timeRange I-timeRange,5
52,alarm/set_alarm,set an alarm for 905,O O O B-timeRange I-timeRange,5
53,alarm/set_alarm,set an alarm for 302,O O O B-timeRange I-timeRange,5
54,weather/find,is there rain today,O O B-condition_temperature B-timeRange,4
55,weather/find,is there sun today,O O B-condition_temperature B-timeRange,4
56,weather/find,are there clouds today,O O B-condition_temperature B-timeRange,4
57,weather/find,is it hot today?,O O B-condition_temperature B-timeRange O,5
58,weather/find,is there wind today?,O O B-condition_temperature B-timeRange O,5
59,weather/find,is there snow today?,O O B-condition_temperature B-timeRange O,5
60,weather/find,is there humidity right now,O O B-condition_temperature O B-timeRange,5
61,weather/find,is there heat today?,O O B-condition_temperature B-timeRange O,5
62,weather/find,are there rain clouds today,O O B-condition_description I-condition_description B-timeRange,5
63,weather/find,are there ice storms today,O O B-condition_temperature I-condition_temperature B-timeRange,5
64,weather/find,is tomorrow to be sunny,O B-timeRange O O B-condition_temperature,5
65,weather/find,is tomorrow to be cloudy?,O B-timeRange O O B-condition_temperature O,6
66,weather/find,is thursday to be rainy?,O B-timeRange O O B-condition_temperature O,6
67,weather/find,is friday to be storming?,O B-timeRange O O B-condition_temperature O,6
68,weather/find,is Friday to be hot,O B-timeRange O O B-condition_temperature,5
69,weather/find,is Tuesday to be clear?,O B-timeRange O O B-condition_temperature O,6
70,weather/find,Is Saturday to be humid,O B-timeRange O O B-condition_temperature,5
71,weather/find,is Monday to be snowy,O B-timeRange O O B-condition_temperature,5
72,weather/find,is Sunday to have sun?,O B-timeRange O O B-condition_temperature O,6
73,weather/find,is tomorrow to have ice,O B-timeRange O O B-condition_temperature,5
74,weather/find,Weather tomorrow in half moon bay,B-condition_description B-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi,6
75,weather/find,give me the weather in half moon bay tomorrow,O O O B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi B-timeRange,9
76,weather/find,can you tell me tomorrow's forecast in half moon bay?,O O O O B-timeRange B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi O,11
77,weather/find,weather report for half moon bay tomorrow,B-condition_description I-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi B-timeRange,7
78,weather/find,half moon bay weather tomorrow?,B-geographic_poi I-geographic_poi I-geographic_poi B-condition_description B-timeRange O,6
79,weather/find,what's the weather for half moon bay on Friday?,O O B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi B-timeRange I-timeRange O,10
80,weather/find,let's see the weather for half moon bay on Tuesday,O O O B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi B-timeRange I-timeRange,10
81,weather/find,i want half moon bay's weather for the weekend,O O B-geographic_poi I-geographic_poi I-geographic_poi B-condition_description B-timeRange I-timeRange I-timeRange,9
82,weather/find,half moon bay's weather on Friday,B-geographic_poi I-geographic_poi I-geographic_poi B-condition_description B-timeRange I-timeRange,6
83,weather/find,i need half moon bay's forecast for Saturday,O O B-geographic_poi I-geographic_poi I-geographic_poi B-condition_description B-timeRange I-timeRange,8
84,weather/find,get me the Wednesday weather report for half moon bay,O O B-timeRange I-timeRange B-condition_description I-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,10
85,weather/find,i want the forecast for Friday in half moon bay,O O O B-condition_description B-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi,10
86,weather/find,what's Friday's forecast for half moon bay,O B-timeRange B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,7
87,weather/find,give me the current forecast for half moon bay,O O B-timeRange I-timeRange B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,9
88,weather/find,Forecast for tomorrow in half moon bay?,B-condition_description B-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi O,8
89,reminder/set_reminder,i want to be reminded to set family tasks,O O O O O O B-todo I-todo I-todo,9
90,reminder/set_reminder,i want to be reminded to play overwatch with friends,O O O O O O B-todo I-todo I-todo I-todo,10
91,reminder/set_reminder,i want to be reminded to log in to fortnite,O O O O O O B-todo I-todo I-todo I-todo,10
92,reminder/set_reminder,I want to be reminded to finish my report,O O O O O O B-todo I-todo I-todo,9
93,reminder/set_reminder,I want to be reminded to brush my teeth,O O O O O O B-todo I-todo I-todo,9
94,reminder/set_reminder,I want to be reminded to file those bug reports,O O O O O O B-todo I-todo I-todo I-todo,10
95,reminder/set_reminder,I want to be reminded to play baseball with the brothers,O O O O O O B-todo I-todo I-todo I-todo I-todo,11
96,reminder/set_reminder,i want to be reminded to feed all animals,O O O O O O B-todo I-todo I-todo,9
97,reminder/set_reminder,i want to be reminded to clean the sheets,O O O O O O B-todo I-todo I-todo,9
98,reminder/set_reminder,I want to be reminded to file taxes,O O O O O O B-todo I-todo,8
99,reminder/set_reminder,i want to be reminded to finish seasoning the steaks,O O O O O O B-todo I-todo I-todo I-todo,10
100,reminder/set_reminder,i want to be reminded to finish setting devices up,O O O O O O B-todo I-todo I-todo I-todo,10
101,reminder/set_reminder,i want to be reminded to finish interview questions,O O O O O O B-todo I-todo I-todo,9
102,reminder/set_reminder,i want to be reminded to finish reviewing candidates,O O O O O O B-todo I-todo I-todo,9
103,reminder/set_reminder,i want to be reminded to complete the build,O O O O O O B-todo I-todo I-todo,9
104,reminder/set_reminder,i don't want to forget to eat my lunch,O O O O O O B-todo I-todo I-todo,9
105,reminder/set_reminder,i don't want to forget to feed the animals,O O O O O O B-todo I-todo I-todo,9
106,reminder/set_reminder,I don't want to forget to bake that cake for the party,O O O O O O B-todo I-todo I-todo I-todo I-todo I-todo,12
107,reminder/set_reminder,i don't want to forget to draft my fantasy team,O O O O O O B-todo I-todo I-todo I-todo,10
108,reminder/set_reminder,i don't want to be reminded to grab a quick nap before driving,O O O O O O O B-todo I-todo I-todo I-todo I-todo I-todo,13
109,reminder/set_reminder,I don't want to forget to watch Sunday Night Football,O O O O O O B-todo I-todo I-todo I-todo,10
110,reminder/set_reminder,I don't want to forget to watch Saturday Night Live,O O O O O O B-todo I-todo I-todo I-todo,10
111,reminder/set_reminder,I don't want to forget to watch the latest press conference,O O O O O O B-todo I-todo I-todo I-todo I-todo,11
112,reminder/set_reminder,I don't watch to forget to call the president,O O O O O O B-todo I-todo I-todo,9
113,reminder/set_reminder,i don't want to forget to file the bug reports,O O O O O O B-todo I-todo I-todo I-todo,10
114,reminder/set_reminder,I don't want to forget to listen to the latest albums,O O O O O O B-todo I-todo I-todo I-todo I-todo,11
115,reminder/set_reminder,i don't want to forget to cook lunch for the Martins,O O O O O O B-todo I-todo I-todo I-todo I-todo,11
116,reminder/set_reminder,I don't want to forget to charge my laptop,O O O O O O B-todo I-todo I-todo,9
117,reminder/set_reminder,I don't want to forget to update the spreadsheets,O O O O O O B-todo I-todo I-todo,9
118,reminder/set_reminder,I don't want to forget to assign family tasks,O O O O O O B-todo I-todo I-todo,9
119,reminder/set_reminder,I want to be reminded to file tax,O O O O O O B-todo I-todo,8
120,reminder/set_reminder,I want to be reminded to take out the trash,O O O O O O B-todo I-todo I-todo I-todo,10
121,reminder/set_reminder,I want to be reminded to cook dinner,O O O O O O B-todo I-todo,8
122,reminder/set_reminder,I want to be reminded to go to the store,O O O O O O B-todo I-todo I-todo I-todo,10
123,reminder/set_reminder,I want to be reminded to watch the game tonight,O O O O O O B-todo I-todo I-todo I-todo,10
124,reminder/set_reminder,I want to be reminded to call dad,O O O O O O B-todo I-todo,8
125,reminder/set_reminder,I want to be reminded to go to the doctor,O O O O O O B-todo I-todo I-todo I-todo,10
126,reminder/set_reminder,I want to be reminded to go early to spin class,O O O O O O B-todo I-todo I-todo I-todo I-todo,11
127,reminder/set_reminder,I want to be reminded to wash dog,O O O O O O B-todo I-todo,8
128,reminder/set_reminder,I want to be reminded to make dinner early,O O O O O O B-todo I-todo I-todo,9
129,reminder/set_reminder,I want to be reminded to call my therapist,O O O O O O B-todo I-todo I-todo,9
130,reminder/set_reminder,I want to be reminded to charge electronic devices,O O O O O O B-todo I-todo I-todo,9
131,reminder/set_reminder,I want to be reminded to go take a nap,O O O O O O B-todo I-todo I-todo I-todo,10
132,reminder/set_reminder,I want to be reminded to help my daughter with homework,O O O O O O B-todo I-todo I-todo I-todo I-todo,11
133,reminder/set_reminder,I don't want to forget to file taxes,O O O O O O B-todo I-todo,8
134,reminder/set_reminder,I can't forget to file taxes,O O O O B-todo I-todo,6
135,reminder/set_reminder,Don't let me forget to file taxes,O O O O O B-todo I-todo,7
136,reminder/set_reminder,Please do not let me forget to file taxes,O O O O O O O B-todo I-todo,9
137,reminder/set_reminder,I cannot forget to file taxes,O O O O B-todo I-todo,6
138,reminder/set_reminder,I really don't want to forget to file taxes,O O O O O O O B-todo I-todo,9
139,reminder/set_reminder,I really can't forget to file taxes,O O O O O B-todo I-todo,7
140,reminder/set_reminder,I don't want to forget to wash the dog,O O O O O O B-todo I-todo I-todo,9
141,reminder/set_reminder,I don't want to forget to take out the trash,O O O O O O B-todo I-todo I-todo I-todo,10
142,reminder/set_reminder,I don't want to forget to clean my car,O O O O O O B-todo I-todo I-todo,9
143,reminder/set_reminder,I don't want to forget to go to work,O O O O O O B-todo I-todo I-todo,9
144,reminder/set_reminder,I don't want to forget my hair appointment,O O O O O O B-todo I-todo,8
145,reminder/set_reminder,i don't want to forget to go to band practice,O O O O O O B-todo I-todo I-todo I-todo,10
146,reminder/set_reminder,I don't want to forget to feed to fish,O O O O O O B-todo I-todo I-todo,9
147,reminder/set_reminder,I don't want to forget to drive to dad's house,O O O O O O B-todo I-todo O I-todo,10
148,reminder/set_reminder,I don't want to forget to text my girlfriend about dinner,O O O O O O B-todo I-todo I-todo I-todo I-todo,11
149,reminder/set_reminder,I don't want to forget to pay the bills,O O O O O O B-todo I-todo I-todo,9
150,reminder/set_reminder,I don't want to forget to email my boss about the tests,O O O O O O B-todo I-todo I-todo I-todo I-todo I-todo,12
151,reminder/set_reminder,I don't want to forget to color my hair,O O O O O O B-todo I-todo I-todo,9
152,reminder/set_reminder,I don't want to forget to charge my phone,O O O O O O B-todo I-todo I-todo,9
153,reminder/set_reminder,I don't want to forget to pack my laptop,O O O O O O B-todo I-todo I-todo,9
154,reminder/set_reminder,I don't want to forget to grab the books,O O O O O O B-todo I-todo I-todo,9
155,reminder/set_reminder,I don't want to forget to change the fish tank,O O O O O O B-todo I-todo I-todo I-todo,10
156,reminder/set_reminder,I don't want to forget to clean the bathroom,O O O O O O B-todo I-todo I-todo,9
157,alarm/modify_alarm,Change my 3 PM alarm to the next day,O O B-timeRange I-timeRange O B-alarm_modifier B-timeRange I-timeRange I-timeRange,9
158,alarm/modify_alarm,Change my alarm for five to 3PM the next day,O O O B-timeRange I-timeRange B-alarm_modifier B-timeRange I-timeRange I-timeRange I-timeRange,10
159,alarm/modify_alarm,Change my 2pm alarm to the same time the next day,O O B-timeRange O B-alarm_modifier O O O B-timeRange I-timeRange I-timeRange,11
160,alarm/modify_alarm,Modify my nine am alarm to eight am the next day,O O B-timeRange O O B-alarm_modifier B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,11
161,alarm/modify_alarm,Change my 9:15PM alarm on Saturday to 8:45PM the next day,O O B-timeRange O B-timeRange I-timeRange B-alarm_modifier B-timeRange I-timeRange I-timeRange I-timeRange,11
162,alarm/modify_alarm,Please adjust my 4:45 alarm today to 9:15am the next day,O O O B-timeRange O B-timeRange B-alarm_modifier B-timeRange I-timeRange I-timeRange I-timeRange,11
163,alarm/modify_alarm,Move my 8:45am today alarm to the next day please,O O B-timeRange I-timeRange O B-alarm_modifier B-timeRange I-timeRange I-timeRange O,10
164,alarm/modify_alarm,I want my 3:45pm alarm adjusted to the next day at the same time,O O O B-timeRange O O B-alarm_modifier O I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,14
165,alarm/modify_alarm,Change my 2:00pm Saturday alarm to the next day at 5:30PM,O O B-timeRange I-timeRange O B-alarm_modifier B-timeRange I-timeRange I-timeRange I-timeRange O,11
166,alarm/modify_alarm,Please change my Sunday 3:45am alarm to the next day at 5am,O O O B-timeRange O O B-timeRange B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,12
167,alarm/modify_alarm,Change my 7:00pm Friday alarm to 6:00am the next day,O O B-timeRange I-timeRange O B-alarm_modifier B-timeRange I-timeRange I-timeRange I-timeRange,10
168,alarm/modify_alarm,I want the alarm I just set to be changed to the next day,O O O O O O O O O O B-alarm_modifier B-timeRange I-timeRange I-timeRange,14
169,alarm/modify_alarm,Please change my new alarm to go off the next day instead,O O O O O B-alarm_modifier O O B-timeRange I-timeRange I-timeRange O,12
170,alarm/modify_alarm,Change that Thursday 4:45PM alarm to go off the same time the next day,O O B-timeRange O O B-alarm_modifier O O O I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,14
171,alarm/set_alarm,set alarm for october,O O B-timeRange I-timeRange,4
172,alarm/set_alarm,set alarm for june of 2019,O O B-timeRange I-timeRange I-timeRange I-timeRange,6
173,alarm/set_alarm,set alarm for 2019 please,O O B-timeRange I-timeRange O,5
174,alarm/set_alarm,set the alarm for 2020 please,O O O B-timeRange I-timeRange O,6
175,alarm/set_alarm,set alarm for november,O O B-timeRange I-timeRange,4
176,alarm/set_alarm,"set alarm for december, 2019",O O B-timeRange O O I-timeRange,6
177,alarm/set_alarm,now set an alarm please for 2022,O O O O O B-timeRange I-timeRange,7
178,alarm/set_alarm,set an alarm for april of 2025,O O O B-timeRange I-timeRange I-timeRange I-timeRange,7
179,alarm/set_alarm,set an alarm for the date of 2023,O O O O O O O B-timeRange,8
180,alarm/set_alarm,set an alarm for 2028,O O O B-timeRange I-timeRange,5
181,alarm/set_alarm,set a july alarm,O O B-timeRange O,4
182,alarm/set_alarm,set an alarm for february,O O O B-timeRange I-timeRange,5
183,alarm/set_alarm,set an alarm for january,O O O B-timeRange I-timeRange,5
184,alarm/set_alarm,set an alarm for may,O O O B-timeRange I-timeRange,5
185,alarm/set_alarm,set an alarm for june of 2034,O O O B-timeRange I-timeRange I-timeRange I-timeRange,7
186,alarm/set_alarm,Set alarm for 5 months,O O B-timeRange I-timeRange I-timeRange,5
187,alarm/set_alarm,set an alarm for 8 months,O O O B-timeRange I-timeRange I-timeRange,6
188,alarm/set_alarm,set an alarm for 9 months please,O O O B-timeRange I-timeRange I-timeRange O,7
189,alarm/set_alarm,set an alarm for 4 months,O O O B-timeRange I-timeRange I-timeRange,6
190,alarm/set_alarm,Set an alarm for 2 months,O O O B-timeRange I-timeRange I-timeRange,6
191,alarm/set_alarm,set an alarm for 14 months,O O O B-timeRange I-timeRange I-timeRange,6
192,alarm/set_alarm,set an alarm for 11 months please,O O O B-timeRange I-timeRange I-timeRange O,7
193,alarm/set_alarm,please set alarm for 3 months,O O O B-timeRange I-timeRange I-timeRange,6
194,alarm/set_alarm,set an alarm for 15 months,O O O B-timeRange I-timeRange I-timeRange,6
195,alarm/set_alarm,set alarm for 18 months,O O B-timeRange I-timeRange I-timeRange,5
196,alarm/set_alarm,set alarm for 19 months,O O B-timeRange I-timeRange I-timeRange,5
197,alarm/set_alarm,set alarm for 5 years,O O B-timeRange I-timeRange I-timeRange,5
198,alarm/set_alarm,set alarm for 8 years,O O B-timeRange I-timeRange I-timeRange,5
199,alarm/set_alarm,set alarm for 7 years,O O B-timeRange I-timeRange I-timeRange,5
200,alarm/set_alarm,set alarm for 9 years please,O O B-timeRange I-timeRange I-timeRange O,6
201,alarm/set_alarm,set an alarm for 15 years,O O O B-timeRange I-timeRange I-timeRange,6
202,alarm/set_alarm,set an alarm for 14 years,O O O B-timeRange I-timeRange I-timeRange,6
203,alarm/set_alarm,set an alarm for 4 years,O O O B-timeRange I-timeRange I-timeRange,6
204,alarm/set_alarm,set an alarm for 6 years please,O O O B-timeRange I-timeRange I-timeRange O,7
205,alarm/set_alarm,set an alarm for 25 years,O O O B-timeRange I-timeRange I-timeRange,6
206,weather/find,whats the weather like in oakland,O O B-condition_description O O B-geographic_poi,6
207,weather/find,hey whats the weather in yosemite,O O O B-condition_description O B-geographic_poi,6
208,weather/find,hey whats the weather going to be for the next three days,O O O B-condition_description O O O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,12
209,weather/find,Whats the weather supposed to be like tomorrow?,O O B-condition_description O O O O B-timeRange O,9
210,weather/find,whats the weather supposed to be like Palo Alto?,O O B-condition_description O O O O B-geographic_poi I-geographic_poi O,10
211,weather/find,What's weather Lost Hills,O B-condition_description B-geographic_poi I-geographic_poi,4
212,weather/find,What's weather Signal Hill,O B-condition_description B-timeRange I-timeRange,4
213,weather/find,What's weather Pleasant Hill,O B-condition_description B-geographic_poi I-geographic_poi,4
214,weather/find,Weather in Laguna Hills,B-condition_description O B-geographic_poi I-geographic_poi,4
215,weather/find,What's the weather like Granada Hills,O O B-condition_description O B-geographic_poi I-geographic_poi,6
216,weather/find,What is weather in El Dorado Hills,O O B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi,7
217,weather/find,What's the weather Chino Hills,O O B-condition_description B-geographic_poi I-geographic_poi,5
218,weather/find,What's the weather Beverly Hills,O O B-condition_description B-geographic_poi I-geographic_poi,5
219,weather/find,What's the weather Anaheim Hills,O O B-condition_description B-geographic_poi I-geographic_poi,5
220,weather/find,What's the weather Agoura Hills,O O B-condition_description B-geographic_poi I-geographic_poi,5
221,weather/find,What's the weather in Morgan Hill,O O B-condition_description O B-geographic_poi I-geographic_poi,6
222,weather/find,What's the weather Richland Hill,O O B-condition_description B-geographic_poi I-geographic_poi,5
223,weather/find,Weather for Richmond Hill,B-condition_description O B-geographic_poi I-geographic_poi,4
224,weather/find,what's the weather morgan hill,O O B-condition_description B-geographic_poi I-geographic_poi,5
225,weather/find,weather in the tri-cities today,B-condition_description O O B-geographic_poi B-timeRange,5
226,reminder/set_reminder,remind me to call shawn on his birthday,O O O B-todo I-todo B-timeRange I-timeRange I-timeRange,8
227,reminder/set_reminder,remind me to call davide on his birthday,O O O B-todo I-todo B-timeRange I-timeRange I-timeRange,8
228,weather/checkSunrise,What time is sun rise,O O O B-condition_temperature I-condition_temperature,5
229,weather/checkSunset,When does the sun set,O O O B-condition_temperature I-condition_temperature,5
230,weather/find,What is it like in Hawaii this weekend weather-wise,O O O O O B-geographic_poi B-timeRange I-timeRange B-condition_description,9
231,weather/find,What's the weather looking like in Honolulu,O O B-condition_description O O O B-geographic_poi,7
232,weather/find,tell me when it will snow,O O O O O B-condition_temperature,6
233,weather/find,How cold does Siberia get,O B-condition_temperature O O O,5
234,reminder/set_reminder,i need assistance making a calendar event,O O O O O B-todo I-todo,7
235,alarm/snooze_alarm,Snooze now,O B-timeRange,2
236,reminder/set_reminder,Set a reminder to give dogs heart worm medication ever 15th of each month,O O B-reminder_type O B-todo I-todo I-todo I-todo I-todo O B-timeRange I-timeRange I-timeRange I-timeRange,14
237,reminder/set_reminder,Set an alarm to remind me to drink water every 2 hours,O O B-reminder_type O O O O B-todo I-todo B-timeRange I-timeRange I-timeRange,12
238,reminder/set_reminder,Reminder to make a dentist appointment,B-reminder_type O O O B-todo I-todo,6
239,reminder/set_reminder,remind me to check on my pizza in 14 minutes,O O O B-todo I-todo I-todo I-todo B-timeRange I-timeRange I-timeRange,10
240,reminder/set_reminder,Remind me about my doctors appointment next Wednesday on Tuesday,O O O O B-todo I-todo I-todo I-todo B-timeRange I-timeRange,10
241,reminder/set_reminder,remind me of my meeting tonight at 7 at the ems building,O O O O B-todo I-todo O I-todo I-todo I-todo I-todo I-todo,12
242,reminder/set_reminder,repeat this reminder weekly,O O B-reminder_type B-timeRange,4
243,reminder/set_reminder,remind me next tuesday that i have a doctors appointment,O O B-timeRange I-timeRange O O O O B-todo I-todo,10
244,reminder/set_reminder,Remind me of my Doctor's appt,O O O O O I-todo,6
245,reminder/set_reminder,can you send me a reminder to bring my coupons with me on Thursday,O O O O O B-reminder_type O B-todo I-todo I-todo O O B-timeRange I-timeRange,14
246,reminder/set_reminder,Remind me again tomorrow,O O O B-timeRange,4
247,reminder/show_reminders,Show all reminders for today,O O B-reminder_type B-timeRange I-timeRange,5
248,reminder/set_reminder,remind about ordering pants for daughter,O O B-todo I-todo I-todo I-todo,6
249,reminder/cancel_reminder,Reset my reminders for Thursday,O O B-reminder_type B-timeRange I-timeRange,5
250,reminder/cancel_reminder,cancel all alarms and reminders,O O O O B-reminder_type,5
251,reminder/show_reminders,Reminder for next week,B-reminder_type B-timeRange I-timeRange I-timeRange,4
252,reminder/set_reminder,Set a reminder alarm for 2pm,O O B-reminder_type O B-timeRange I-timeRange,6
253,reminder/show_reminders,Show all of my reminders for tomorrow,O O O O B-reminder_type B-timeRange I-timeRange,7
254,reminder/set_reminder,Remind me about my dentist appointment at 2:00PM on Wednesday,O O O O B-todo I-todo B-timeRange O I-timeRange I-timeRange,10
255,reminder/set_reminder,Remind me to pick up Raymond at 3pm,O O O B-todo I-todo I-todo B-timeRange I-timeRange,8
256,reminder/show_reminders,show alarm reminder,O O B-reminder_type,3
257,reminder/set_reminder,Remind me about Evelyn's play Tuesday at 6 p.m,O O O O I-todo B-timeRange I-timeRange I-timeRange O O O,11
258,reminder/set_reminder,remind me to take my pills tomorrow morning,O O O B-todo I-todo I-todo B-timeRange I-timeRange,8
259,reminder/set_reminder,Remind me an hour before my appointment,O O B-timeRange I-timeRange O O B-todo,7
260,reminder/set_reminder,Add reminder to add washer fluid to my car,O B-reminder_type O B-todo I-todo I-todo I-todo I-todo I-todo,9
261,reminder/set_reminder,"set a reminder called golf for this sunday at seven am, set an alarm for this reminder to go off 30 minutes beforehand",O O O O B-todo O O I-timeRange I-timeRange I-timeRange I-timeRange O O O O B-timeRange I-timeRange B-reminder_type O O O O O O,24
262,reminder/set_reminder,Remind me to pick up dry cleaning this afternoon,O O O B-todo I-todo I-todo I-todo B-timeRange I-timeRange,9
263,alarm/set_alarm,set an alarm to remind me to bake cookies on wednesday,O O O O O O O O O B-timeRange I-timeRange,11
264,reminder/set_reminder,reminder to complete list,B-reminder_type O B-todo I-todo,4
265,reminder/set_reminder,add reminder for next Sundays event,O B-reminder_type B-timeRange I-timeRange I-timeRange B-todo,6
266,reminder/set_reminder,Add a reminder for the dance recital on friday at 2pm,O O B-reminder_type O O B-todo I-todo B-timeRange I-timeRange I-timeRange I-timeRange,11
267,reminder/set_reminder,remind me of my appointment with my insurance agent at 10 tomorrow,O O O O I-todo I-todo I-todo I-todo I-todo B-timeRange I-timeRange I-timeRange,12
268,reminder/set_reminder,Remind me of my dinner reservations tonight,O O O B-todo I-todo I-todo B-timeRange,7
269,reminder/show_reminders,Show any reminders for today,O O B-reminder_type B-timeRange I-timeRange,5
270,reminder/set_reminder,Let's set a reminder tomorrow that it's a week til payday,O O O B-reminder_type B-timeRange O O I-todo I-todo I-todo I-todo,11
